날짜,원/미국달러(매매기준율),원/일본엔(100엔)
"1980/01/04","484.00","202.09"
"1980/01/05","484.00","203.83"
"1980/01/07","484.00","203.83"
"1980/01/08","484.00","206.93"
"1980/01/09","484.00","206.97"
"1980/01/10","484.00","205.00"
"1980/01/11","484.00","205.96"
"1980/01/12","580.00","245.95"
"1980/01/14","580.00","245.95"
"1980/01/15","580.00","245.09"
"1980/01/16","580.00","241.67"
"1980/01/17","580.00","242.88"
"1980/01/18","580.00","243.01"
"1980/01/19","580.00","242.22"
"1980/01/21","580.00","242.22"
"1980/01/22","580.00","241.49"
"1980/01/23","580.00","241.31"
"1980/01/24","580.00","243.52"
"1980/01/25","580.00","243.34"
"1980/01/26","580.00","242.37"
"1980/01/28","580.00","242.37"
"1980/01/29","580.00","241.47"
"1980/01/30","580.00","242.27"
"1980/01/31","580.00","242.32"
"1980/02/01","580.00","242.86"
"1980/02/02","580.00","241.36"
"1980/02/04","580.00","241.36"
"1980/02/05","580.00","241.04"
"1980/02/06","580.00","241.79"
"1980/02/07","580.00","241.31"
"1980/02/08","580.00","241.57"
"1980/02/09","580.00","240.84"
"1980/02/11","580.00","240.84"
"1980/02/12","580.00","240.27"
"1980/02/13","580.00","240.47"
"1980/02/14","580.00","239.77"
"1980/02/15","580.00","239.20"
"1980/02/16","580.00","238.61"
"1980/02/18","580.00","238.61"
"1980/02/19","580.00","237.92"
"1980/02/20","580.00","236.64"
"1980/02/21","580.00","235.34"
"1980/02/22","580.00","235.77"
"1980/02/23","580.00","235.41"
"1980/02/25","580.00","235.41"
"1980/02/26","580.00","233.92"
"1980/02/27","580.50","234.14"
"1980/02/28","580.90","234.04"
"1980/02/29","580.70","233.91"
"1980/03/03","581.20","234.11"
"1980/03/04","580.70","234.10"
"1980/03/05","580.50","235.85"
"1980/03/06","581.00","234.86"
"1980/03/07","581.50","234.42"
"1980/03/08","582.00","234.67"
"1980/03/11","582.50","235.18"
"1980/03/12","582.90","235.61"
"1980/03/13","582.60","235.48"
"1980/03/14","583.10","234.83"
"1980/03/15","583.60","234.25"
"1980/03/17","583.60","234.25"
"1980/03/18","584.10","235.16"
"1980/03/19","584.60","234.82"
"1980/03/20","584.30","235.17"
"1980/03/21","584.00","234.77"
"1980/03/22","584.50","234.88"
"1980/03/24","584.50","234.88"
"1980/03/25","585.00","234.79"
"1980/03/26","585.00","235.01"
"1980/03/27","585.00","234.89"
"1980/03/28","585.70","234.34"
"1980/03/29","586.10","235.14"
"1980/03/31","586.10","235.14"
"1980/04/01","586.80","234.81"
"1980/04/02","587.50","229.78"
"1980/04/03","588.20","228.78"
"1980/04/04","588.20","228.31"
"1980/04/07","588.90","228.58"
"1980/04/08","589.90","225.95"
"1980/04/09","589.70","228.41"
"1980/04/10","589.00","234.19"
"1980/04/11","588.60","237.33"
"1980/04/12","589.60","233.83"
"1980/04/14","589.60","233.83"
"1980/04/15","589.60","233.35"
"1980/04/16","590.60","233.91"
"1980/04/17","590.30","238.13"
"1980/04/18","590.10","237.61"
"1980/04/19","591.10","236.44"
"1980/04/21","591.10","236.44"
"1980/04/22","591.10","236.66"
"1980/04/23","591.10","236.82"
"1980/04/24","590.60","243.20"
"1980/04/25","590.50","240.88"
"1980/04/26","591.00","240.35"
"1980/04/28","591.00","240.35"
"1980/04/29","590.60","245.27"
"1980/04/30","590.50","246.56"
"1980/05/01","591.50","246.67"
"1980/05/02","592.00","246.31"
"1980/05/03","592.60","247.95"
"1980/05/06","592.30","249.60"
"1980/05/07","592.00","254.79"
"1980/05/08","591.80","256.36"
"1980/05/09","592.80","253.34"
"1980/05/10","592.70","257.98"
"1980/05/12","592.70","257.98"
"1980/05/13","592.40","261.67"
"1980/05/14","592.30","260.56"
"1980/05/15","593.30","259.48"
